image_id,severity_expert,NO_expert,NC_expert,CO_expert,PSC_expert,confidence,source,NO_pseudo,NC_pseudo,CO_pseudo,PSC_pseudo,severity_bin
18_jpg.rf.753eb47ec891095663c701fb349edefd.jpg,5,4,3,4,5,80%,mobile,0,4,5,3,5
18_jpg.rf.a52b0e9d819201357c15e893059443be.jpg,0,0,0,0,0,80%,mobile,0,3,5,2,5
23_jpg.rf.deed17558b0dbb5d150d11a2b1443213.jpg,5,5,4,4,4,80%,mobile,0,2,5,2,5
24_jpg.rf.1b8bdc9bf83bd39265848d8165fa1f41.jpg,4,4,3,4,3,80%,mobile,1,3,4,2,4
28_jpg.rf.b1608a15882ec66c71589d420d0d953b.jpg,3,3,1,2,3,80%,mobile,3,4,1,2,4
8_JPG_jpg.rf.045c04736ac86c70dc2f7b9ffb659dc4.jpg,5,4,5,4,5,80%,mobile,0,3,5,2,5
9_JPG_jpg.rf.299c7aac590797b8408d427b7826e881.jpg,3,2,3,2,3,80%,mobile,0,4,5,2,5
cat_0_1290.jpg,3,3,2,3,3,80%,mobile,2,2,2,1,2
cat_0_1404.jpg,3,3,2,3,2,80%,mobile,2,2,2,2,2
cat_0_1582.jpg,3,2,2,3,2,80%,mobile,2,2,2,2,2
cat_0_1931.jpg,0,0,0,0,0,80%,mobile,2,2,4,2,4
cat_0_2105.jpg,0,0,0,0,0,80%,mobile,2,2,3,2,3
cat_0_2643.jpg,3,3,2,3,3,80%,mobile,3,3,1,3,3
cat_0_3816.jpg,4,4,3,4,3,80%,mobile,2,1,2,2,2
cat_0_4323.jpg,4,3,4,4,3,80%,mobile,3,5,1,2,5
cat_0_4430.jpg,3,2,3,3,2,80%,mobile,2,2,2,1,2
cat_0_4562.jpg,0,0,0,0,0,80%,mobile,3,2,3,3,3
cat_0_464.jpg,3,3,2,3,2,80%,mobile,2,2,2,2,2
cat_0_4676.jpg,4,3,4,3,3,80%,mobile,3,3,2,1,3
cat_0_5122.jpg,0,0,0,0,0,80%,mobile,3,2,2,2,3
cat_0_5123.jpg,0,0,0,0,0,80%,mobile,3,2,2,2,3
cat_0_5293.jpg,4,4,3,4,3,80%,mobile,2,2,2,2,2
cat_0_5718.jpg,0,0,0,0,0,80%,mobile,3,3,2,2,3
cat_0_5732.jpg,3,3,4,2,1,80%,mobile,3,3,3,2,3
cat_0_636.jpg,0,0,0,0,0,80%,mobile,3,2,2,3,3
cat_0_688.jpg,0,0,0,0,0,80%,mobile,3,3,2,4,4
cat_0_7508.jpg,3,3,2,3,2,80%,mobile,3,2,2,4,4
cat_0_7852.jpg,0,0,0,0,0,80%,mobile,3,3,4,3,4
cat_0_7912.jpg,3,3,3,2,3,80%,mobile,3,5,1,2,5
cat_0_8769.jpg,0,0,0,0,0,80%,mobile,3,2,2,3,3
cat_0_8802.jpg,0,0,0,0,0,80%,mobile,2,2,4,3,4
cat_0_9098.jpg,4,3,4,3,3,80%,mobile,2,2,2,1,2
cat_0_9131.jpg,0,0,0,0,0,80%,mobile,3,2,2,2,3
cat_0_922.jpg,4,3,4,4,4,80%,mobile,2,2,4,2,4
cat_0_9239.jpg,0,0,0,0,0,80%,mobile,3,3,2,2,3
cat_0_9424.jpg,4,4,3,4,3,80%,mobile,2,2,2,2,2
cat_0_9671.jpg,4,4,4,3,3,80%,mobile,2,2,2,1,2
close-senile-cataract-during-eye-examination-438079921_jpg.rf.72c136034e5aeddf003f6a3f65e306f7.jpg,3,3,4,3,2,80%,mobile,3,3,2,2,3
p152_11m_jpeg.rf.fdda8ac0331752562b98a6d6b87a81d2.jpg,0,0,0,0,0,80%,mobile,3,2,1,2,3
Pterygium6_jpg.rf.99e0a69ee7140ef9aee12dab6b4305ec.jpg,3,2,3,2,3,80%,mobile,3,5,2,1,5
